run_id,iter_started_at,iteration,games_file,num_games,avg_score,max_score,p1_avg,p2_avg,loss,policy_loss,value_loss,value_r2,avg_captures,avg_cap_ruins,avg_cap_villages,avg_cap_cities,avg_cap_capitals,avg_harvests,avg_builds,avg_research,avg_attacks,avg_revealed_tiles,avg_captured_tiles,avg_spt_t0,avg_spt_t5,avg_spt_t10,avg_spt_t15,avg_spt_t20,avg_spt_t25,avg_spt_t30,villages_t2c_first,villages_t2c_p50,villages_t2c_p80,villages_t2c_all,ruins_t2c_p50,ruins_t2c_p80,ruins_t2c_all,avg_moves,max_turns,policy_kl,decisive_frac,vlab_wl_share,vlab_td_absmean,vlab_wl_absmean,vlab_spt_absmean,match_type
1784424062,2026-07-19T01:21:04.187134+00:00,204,archive/games_1784424415.safetensors,100,5299.10009765625,9970,4814.9501953125,2228.0,3.0165,2.1136,0.8618,0.3962,8.680000305175781,3.140000104904175,2.940000057220459,1.4600000381469727,1.1399999856948853,8.010000228881836,32.33000183105469,16.510000228881836,26.31999969482422,197.66000366210938,57.59000015258789,2.0,3.2950000762939453,5.829787254333496,8.879746437072754,10.666666984558105,10.96875,12.199999809265137,6.980000019073486,10.569999694824219,16.190000534057617,16.399999618530273,11.779999732971191,27.709999084472656,27.709999084472656,394.5199890136719,45,1.261013103723526,0.8999999761581421,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T01:35:31.875516+00:00,205,archive/games_1784425393.safetensors,100,5784.5498046875,12010,4457.0498046875,4231.39990234375,3.1953,2.0612,1.0805,0.2172,9.109999656677246,3.1500000953674316,2.859999895095825,1.9299999475479126,1.1699999570846558,15.220000267028809,55.369998931884766,21.959999084472656,48.41999816894531,205.33999633789062,64.37000274658203,2.0,4.394999980926514,6.192708492279053,8.82758617401123,10.56944465637207,11.605262756347656,12.523809432983398,8.15999984741211,10.479999542236328,15.949999809265137,16.1299991607666,11.239999771118164,29.1200008392334,29.1200008392334,585.75,45,1.2953454303741454,0.8100000023841858,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T01:43:38.978472+00:00,206,archive/games_1784425898.safetensors,100,5931.5498046875,9820,4701.5,4016.5,3.154,2.0031,1.0986,0.2805,9.270000457763672,3.1600000858306885,3.0,2.0199999809265137,1.090000033378601,15.9399995803833,44.349998474121094,21.579999923706055,42.529998779296875,202.75,65.77999877929688,2.0,4.239999771118164,6.6861701011657715,9.64534854888916,11.554794311523438,12.382978439331055,13.157142639160156,7.909999847412109,9.979999542236328,16.239999771118164,16.34000015258789,11.699999809265137,28.809999465942383,28.809999465942383,530.0999755859375,45,1.215446256697178,0.8999999761581421,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T01:52:08.845904+00:00,207,archive/games_1784426293.safetensors,100,5735.35009765625,11810,4390.14990234375,4240.10009765625,3.1852,1.9894,1.143,0.2773,8.869999885559082,3.0299999713897705,2.890000104904175,1.7799999713897705,1.1699999570846558,13.010000228881836,43.04999923706055,21.809999465942383,37.56999969482422,198.49000549316406,62.529998779296875,2.0,4.161616325378418,6.52717399597168,9.20121955871582,11.315384864807129,12.931818008422852,14.5,7.309999942779541,11.960000038146973,16.809999465942383,17.06999969482422,11.170000076293945,28.209999084472656,28.209999084472656,480.8900146484375,45,1.2118746367096902,0.8999999761581421,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T01:58:49.096677+00:00,208,archive/games_1784426763.safetensors,100,5796.60009765625,9980,4638.7001953125,3941.300048828125,3.1463,1.9645,1.131,0.2915,9.15999984741211,3.200000047683716,2.9000000953674316,2.0,1.059999942779541,9.9399995803833,48.380001068115234,22.899999618530273,43.70000076293945,201.2100067138672,58.86000061035156,2.0,3.8450000286102295,6.9210524559021,9.45678997039795,11.007575988769531,11.744186401367188,12.676470756530762,7.360000133514404,9.8100004196167,15.84000015258789,15.9399995803833,10.489999771118164,25.270000457763672,25.270000457763672,521.719970703125,45,1.2634571975469588,0.8899999856948853,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T02:06:48.064792+00:00,209,archive/games_1784427253.safetensors,100,5689.5498046875,9930,4279.2998046875,4134.39990234375,3.1403,1.9337,1.1558,0.2889,8.84000015258789,3.0799999237060547,2.8399999141693115,1.8700000047683716,1.0499999523162842,14.149999618530273,39.939998626708984,21.06999969482422,39.2400016784668,194.6699981689453,62.11000061035156,2.0,4.489999771118164,6.702127456665039,9.292682647705078,11.063491821289062,11.837499618530273,12.383333206176758,7.409999847412109,11.079999923706055,17.450000762939453,17.530000686645508,12.84000015258789,29.149999618530273,29.149999618530273,488.0799865722656,45,1.198779708147049,0.8899999856948853,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T02:15:08.510208+00:00,210,archive/games_1784427686.safetensors,100,5535.60009765625,9700,2809.35009765625,4754.89990234375,3.0638,1.896,1.1183,0.306,9.149999618530273,3.319999933242798,2.9200000762939453,1.850000023841858,1.059999942779541,8.84000015258789,36.2599983215332,18.360000610351562,30.90999984741211,194.19000244140625,59.290000915527344,2.0,3.315000057220459,6.17391300201416,9.019230842590332,10.798245429992676,11.699999809265137,12.3695650100708,6.579999923706055,8.869999885559082,15.420000076293945,15.510000228881836,9.239999771118164,23.780000686645508,23.780000686645508,413.0899963378906,45,1.2842237812280655,0.8899999856948853,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T02:22:23.919912+00:00,211,archive/games_1784428152.safetensors,100,5128.2998046875,8615,4695.7998046875,2382.10009765625,3.0261,1.8704,1.107,0.3079,8.369999885559082,3.059999942779541,2.5899999141693115,1.5099999904632568,1.2100000381469727,11.300000190734863,34.84000015258789,16.809999465942383,30.75,196.2899932861328,57.0099983215332,2.0,3.609999895095825,5.766666889190674,8.715277671813965,10.076923370361328,11.0625,11.129630088806152,8.850000381469727,11.619999885559082,18.299999237060547,18.469999313354492,11.359999656677246,30.059999465942383,30.059999465942383,425.2699890136719,45,1.2466432282328606,0.9300000071525574,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T02:30:12.375101+00:00,212,archive/games_1784428700.safetensors,100,6157.2998046875,13720,4531.2001953125,4565.0498046875,3.0277,1.8908,1.0884,0.3046,8.5600004196167,3.0999999046325684,2.75,1.6799999475479126,1.0299999713897705,16.479999542236328,52.880001068115234,22.959999084472656,36.779998779296875,199.0500030517578,65.83999633789062,2.0,4.534999847412109,6.833333492279053,9.482758522033691,11.520270347595215,12.399999618530273,13.682927131652832,7.260000228881836,9.449999809265137,16.200000762939453,16.700000762939453,12.9399995803833,27.709999084472656,27.709999084472656,567.8499755859375,45,1.290532431602478,0.8500000238418579,0.0,0.0,0.0,0.0,selfplay
1784424062,2026-07-19T02:39:23.819376+00:00,213,archive/games_1784429187.safetensors,100,5667.0498046875,10735,4513.14990234375,4129.64990234375,3.0542,1.9242,1.0818,0.2951,8.449999809265137,3.109999895095825,2.690000057220459,1.5299999713897705,1.1200000047683716,15.079999923706055,49.33000183105469,22.540000915527344,35.290000915527344,196.16000366210938,63.33000183105469,2.0,4.940000057220459,7.010416507720947,9.91566276550293,11.7890625,12.666666984558105,13.583333015441895,8.720000267028809,10.84000015258789,17.229999542236328,17.440000534057617,11.800000190734863,26.860000610351562,26.860000610351562,508.45001220703125,45,1.2745800399780274,0.8899999856948853,0.0,0.0,0.0,0.0,selfplay
